HT1,HT2,HT3,HT4,HT5,BI1,BI2,BI3,BI4,BI5
agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,6,5,6,6,5
somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,6,6,6,6,6
neutral,neutral,agree,neutral,neutral,4,4,4,4,4
agree,neutral,neutral,agree,agree,6,6,6,6,6
somewhat_agree,somewhat_agree,strongly_agree,strongly_agree,somewhat_agree,6,7,6,7,6
neutral,neutral,neutral,neutral,somewhat_disagree,4,4,4,4,4
neutral,neutral,neutral,neutral,somewhat_agree,4,4,5,4,4
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
agree,somewhat_disagree,option,option,somewhat_disagree,1,1,1,1,1
neutral,neutral,neutral,neutral,disagree,4,4,4,4,4
neutral,neutral,neutral,neutral,disagree,4,4,4,4,4
neutral,neutral,neutral,neutral,neutral,5,5,5,5,5
disagree,disagree,disagree,neutral,disagree,4,4,4,4,4
neutral,neutral,neutral,neutral,neutral,4,5,5,3,5
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
neutral,neutral,neutral,neutral,neutral,4,4,4,4,5
agree,agree,neutral,agree,agree,6,4,4,4,4
agree,somewhat_disagree,neutral,neutral,agree,6,6,6,6,4
disagree,disagree,agree,agree,disagree,5,4,4,5,5
neutral,disagree,neutral,neutral,disagree,4,4,4,4,5
agree,agree,agree,neutral,agree,5,6,6,5,6
somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,6,5,6,6,6
somewhat_disagree,neutral,option,somewhat_disagree,agree,4,5,3,4,6
neutral,somewhat_disagree,option,option,option,1,4,5,5,3
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,1,6,5,5,6
somewhat_agree,somewhat_agree,agree,somewhat_agree,agree,6,6,5,5,6
neutral,neutral,neutral,neutral,somewhat_disagree,4,4,4,4,4
disagree,disagree,disagree,disagree,disagree,3,3,3,3,3
somewhat_agree,agree,somewhat_agree,somewhat_agree,somewhat_agree,6,6,6,6,6
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
disagree,neutral,neutral,neutral,disagree,4,4,4,4,4
somewhat_agree,neutral,agree,neutral,option,4,4,4,6,6
neutral,somewhat_agree,somewhat_agree,agree,neutral,1,6,2,4,6
neutral,neutral,neutral,neutral,agree,4,4,4,4,4
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
neutral,neutral,neutral,neutral,disagree,4,4,4,4,4
agree,agree,somewhat_agree,agree,agree,5,6,5,4,4
agree,neutral,agree,agree,agree,6,5,5,5,5
neutral,neutral,neutral,neutral,somewhat_agree,4,4,4,4,4
somewhat_agree,strongly_agree,strongly_agree,strongly_agree,somewhat_disagree,1,4,7,5,4
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
disagree,disagree,disagree,disagree,disagree,4,5,5,5,5
neutral,neutral,agree,agree,neutral,5,5,4,5,6
somewhat_agree,neutral,agree,neutral,neutral,6,6,6,6,6
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
somewhat_agree,agree,agree,somewhat_agree,somewhat_agree,6,6,6,6,6
strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,7,6,7,4,6
neutral,neutral,neutral,neutral,neutral,4,4,4,4,5
neutral,neutral,neutral,agree,neutral,4,3,4,4,4
disagree,disagree,disagree,disagree,disagree,6,5,6,6,6
somewhat_agree,agree,agree,somewhat_agree,agree,4,4,4,4,4
neutral,neutral,neutral,neutral,neutral,4,4,4,4,5
agree,agree,somewhat_agree,agree,somewhat_agree,6,5,6,6,6
disagree,disagree,disagree,disagree,disagree,4,5,4,4,4
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
agree,somewhat_agree,agree,agree,agree,3,5,5,3,6
neutral,neutral,neutral,neutral,neutral,6,6,6,6,6
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
strongly_agree,strongly_agree,strongly_agree,strongly_agree,somewhat_agree,4,2,3,5,4
strongly_agree,strongly_agree,neutral,strongly_agree,neutral,2,4,5,5,5
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
agree,neutral,neutral,disagree,neutral,4,5,4,4,4
agree,neutral,neutral,neutral,neutral,5,5,5,5,4
agree,somewhat_agree,somewhat_agree,somewhat_agree,agree,6,6,6,5,6
neutral,neutral,neutral,neutral,neutral,4,4,4,4,4
